sample	group
SRR4454435	HUMAN_CD4
SRR4454436	HUMAN_CD4
SRR4454437	HUMAN_CD4
SRR3647476	HUMAN_CD4
SRR3647490	HUMAN_CD4
SRR3724617	HUMAN_CD4
SRR3724618	HUMAN_CD4
SRR3724621	HUMAN_CD4
SRR3724622	HUMAN_CD4
SRR3724625	HUMAN_CD4
SRR3724626	HUMAN_CD4
SRR1615171	HUMAN_CD4
SRR1615180	HUMAN_CD4
SRR1613936	HUMAN_CD8
SRR3647477	HUMAN_CD8
SRR3647491	HUMAN_CD8
SRR3724619	HUMAN_CD8
SRR3724620	HUMAN_CD8
SRR3724623	HUMAN_CD8
SRR3724624	HUMAN_CD8
SRR3724627	HUMAN_CD8
SRR3724628	HUMAN_CD8
SRR1740050	HUMAN_NK_CELLS
SRR1740078	HUMAN_NK_CELLS
SRR1613931	HUMAN_NK_CELLS
SRR1725971	HUMAN_DENDRITIC_CELLS
SRR1725973	HUMAN_DENDRITIC_CELLS
SRR1725975	HUMAN_DENDRITIC_CELLS
SRR2072599	HUMAN_DENDRITIC_CELLS_pDC
SRR2072600	HUMAN_DENDRITIC_CELLS
SRR2072603	HUMAN_DENDRITIC_CELLS_pDC
SRR2072604	HUMAN_DENDRITIC_CELLS
SRR2072607	HUMAN_DENDRITIC_CELLS_pDC
SRR2072608	HUMAN_DENDRITIC_CELLS
SRR1740038	HUMAN_DENDRITIC_CELLS
SRR3554814	HUMAN_FIBROBLASTS
SRR3554818	HUMAN_FIBROBLASTS
SRR3554824	HUMAN_FIBROBLASTS
SRR2989057	HUMAN_FIBROBLASTS
SRR2989058	HUMAN_FIBROBLASTS
SRR2989059	HUMAN_FIBROBLASTS
SRR4421439	HUMAN_FIBROBLASTS
SRR4421440	HUMAN_FIBROBLASTS
SRR4421925	HUMAN_FIBROBLASTS
SRR4421926	HUMAN_FIBROBLASTS
SRR4421887	HUMAN_FIBROBLASTS
SRR4421888	HUMAN_FIBROBLASTS
SRR4421772	HUMAN_FIBROBLASTS
SRR4421773	HUMAN_FIBROBLASTS
SRR2747462	HUMAN_FIBROBLASTS
SRR2747471	HUMAN_FIBROBLASTS
SRR3680526	HUMAN_FIBROBLASTS
SRR3680527	HUMAN_FIBROBLASTS
SRR3680530	HUMAN_FIBROBLASTS
SRR3680531	HUMAN_FIBROBLASTS
SRR3158894	HUMAN_FIBROBLASTS
SRR3158895	HUMAN_FIBROBLASTS
SRR1509541	HUMAN_FIBROBLASTS
SRR1509542	HUMAN_FIBROBLASTS
SRR1509543	HUMAN_FIBROBLASTS
SRR1509544	HUMAN_FIBROBLASTS
SRR3125898	HUMAN_FIBROBLASTS
SRR3125899	HUMAN_FIBROBLASTS
SRR3125900	HUMAN_FIBROBLASTS
SRR3125901	HUMAN_FIBROBLASTS
SRR1784223	HUMAN_FIBROBLASTS
SRR1784224	HUMAN_FIBROBLASTS
SRR1784225	HUMAN_FIBROBLASTS
SRR1928188	HUMAN_FIBROBLASTS
SRR1928189	HUMAN_FIBROBLASTS
SRR1928190	HUMAN_FIBROBLASTS
SRR2522093	HUMAN_FIBROBLASTS
SRR3593456	HUMAN_FIBROBLASTS
SRR3383318	HUMAN_FIBROBLASTS
SRR3383319	HUMAN_FIBROBLASTS
SRR3383320	HUMAN_FIBROBLASTS
SRR3383321	HUMAN_FIBROBLASTS
SRR3383322	HUMAN_FIBROBLASTS
SRR3383323	HUMAN_FIBROBLASTS
SRR3470679	HUMAN_FIBROBLASTS
SRR3594565	HUMAN_ASTROCYTES
SRR3594566	HUMAN_ASTROCYTES
SRR3594567	HUMAN_ASTROCYTES
SRR3594568	HUMAN_ASTROCYTES
SRR3594569	HUMAN_ASTROCYTES
SRR3594570	HUMAN_ASTROCYTES
SRR3594571	HUMAN_ASTROCYTES
SRR3594572	HUMAN_ASTROCYTES
SRR4869639	HUMAN_ASTROCYTES
SRR4869641	HUMAN_ASTROCYTES
SRR4869642	HUMAN_ASTROCYTES
SRR4869648	HUMAN_ASTROCYTES
SRR4869650	HUMAN_ASTROCYTES
SRR3392365	HUMAN_ASTROCYTES
SRR3392366	HUMAN_ASTROCYTES
SRR3192576	HUMAN_ASTROCYTES
SRR3192577	HUMAN_ASTROCYTES
SRR2557089	HUMAN_ASTROCYTES
SRR2557090	HUMAN_ASTROCYTES
SRR2557091	HUMAN_ASTROCYTES
SRR2557092	HUMAN_ASTROCYTES
SRR2557093	HUMAN_ASTROCYTES
SRR2557094	HUMAN_ASTROCYTES
SRR2557095	HUMAN_ASTROCYTES
SRR2557096	HUMAN_ASTROCYTES
SRR2557097	HUMAN_ASTROCYTES
SRR2557098	HUMAN_ASTROCYTES
SRR2557099	HUMAN_ASTROCYTES
SRR2557100	HUMAN_ASTROCYTES
SRR2557105	HUMAN_ASTROCYTES
SRR2557106	HUMAN_ASTROCYTES
SRR2557107	HUMAN_ASTROCYTES
SRR2557108	HUMAN_ASTROCYTES
SRR2557114	HUMAN_OLIGODENDROCYTES
SRR2557115	HUMAN_OLIGODENDROCYTES
SRR2557116	HUMAN_OLIGODENDROCYTES
SRR2557117	HUMAN_OLIGODENDROCYTES
SRR2557118	HUMAN_OLIGODENDROCYTES
SRR3749336	HUMAN_NEURAL_STEM_CELLS
SRR3749337	HUMAN_NEURAL_STEM_CELLS
SRR1586371	HUMAN_NEURAL_STEM_CELLS
SRR1586372	HUMAN_NEURAL_STEM_CELLS
SRR1273697	HUMAN_NEURAL_STEM_CELLS
SRR1273698	HUMAN_NEURAL_STEM_CELLS
SRR1273699	HUMAN_NEURAL_STEM_CELLS
SRR1273700	HUMAN_NEURAL_STEM_CELLS
SRR1273701	HUMAN_NEURAL_STEM_CELLS
SRR1273702	HUMAN_NEURAL_STEM_CELLS
SRR517998	HUMAN_NEURAL_STEM_CELLS
